titre,entreprise,lieu,url,contrat,date_publication,description_courte,source,date_scraping
INGENIEUR EXLOITATION,Storengy France S.A.,"Etrez, France, 1340",https://jobs.engie.com/job/INGENIEUR-EXLOITATION/61954-fr_FR,CDD,27/02/2026,,engie-jobs,2026-02-28T14:37:04.522913
Ingénieur de Bureau d'Etudes,ENGIE SERVICES POLYNESIE,"Punaauia, France, 98718",https://jobs.engie.com/job/Ing%C3%A9nieur-de-Bureau-d&apos;Etudes/22113-fr_FR,CDD,12/01/2026,,engie-jobs,2026-02-28T14:37:04.533712
Ingénieur Commercial H/F,ENGIE ENERGIE SERVICES,Plusieurs lieux,https://jobs.engie.com/job/Ing%C3%A9nieur-Commercial-HF/58167-fr_FR,CDI,20/02/2026,,engie-jobs,2026-02-28T14:37:04.543230
Ingénieur d'Exploitation H/F,ENGIE ENERGIE SERVICES,"Echirolles, France, 38130",https://jobs.engie.com/job/Ing%C3%A9nieur-d&apos;Exploitation-HF/57863-fr_FR,CDI,31/12/2025,,engie-jobs,2026-02-28T14:37:04.557747
Stagiaire Ingénieur études,ENGIE ENERGIE SERVICES,"Courbevoie, France, 92400",https://jobs.engie.com/job/Stagiaire-Ing%C3%A9nieur-%C3%A9tudes/57153-fr_FR,Stage,25/11/2025,,engie-jobs,2026-02-28T14:37:04.566799
Ingénieur exploitation F/H,CIEC,"Brie Comte Robert, France, 77170",https://jobs.engie.com/job/Ing%C3%A9nieur-exploitation-FH/59931-fr_FR,CDI,30/01/2026,,engie-jobs,2026-02-28T14:37:04.577820
Stagiaire - Ingénieur Etudes,ENGIE ENERGIE SERVICES,"La Garenne Colombes, France, 92250",https://jobs.engie.com/job/Stagiaire-Ing%C3%A9nieur-Etudes/57092-fr_FR,Stage,25/11/2025,,engie-jobs,2026-02-28T14:37:04.588608
Alternance - Appui Ingénieur d'affaires biométhane (F/H) - Master / Ingénieur,GRDF,"Saint Laurent Blangy, France, 62223",https://jobs.engie.com/grdf/job/Alternance-Appui-Ing%C3%A9nieur-d&apos;affaires-biom%C3%A9thane-%28FH%29-Master-Ing%C3%A9nieur/60663-fr_FR,Apprentissage,06/02/2026,,engie-jobs,2026-02-28T14:37:04.598142
Ingénieur Outils Et Méthodes H/F,ENGIE ENERGIE SERVICES,"Lyon, France, 69007",https://jobs.engie.com/job/Ing%C3%A9nieur-Outils-Et-M%C3%A9thodes-HF/61623-fr_FR,CDI,27/02/2026,,engie-jobs,2026-02-28T14:37:04.609237
Ingénieur QHSE F/H,ENGIE ENERGIE SERVICES,"Vitry Sur Seine, France, 94400",https://jobs.engie.com/job/Ing%C3%A9nieur-QHSE-FH/60935-fr_FR,CDI,18/02/2026,,engie-jobs,2026-02-28T14:37:04.617667
